,GSTIN of supplier,Supplier_name,Invoice_number,Invoice_value,Integrated_tax,Central_tax,State_tax,Taxable_value
1,37AAACC6106G2ZZ,CANARA BANK,127.0,6974.0,0.0,69.79,69.79,775.42
2,37AJDPM2528H1Z9,SIKHI DISTRIBUTORS,92.0,6974.0,0.0,531.9,531.9,5910.0
3,37AJDPM2528H1Z9,SIKHI DISTRIBUTORS,3701072200965674.0,59.0,0.0,531.9,531.9,5910.0
4,37AAACC6106G2ZZ,CANARA BANK,1202201383.0,177141.6,0.0,4.5,4.5,50.0
5,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202201637.0,246030.0,27021.6,0.0,0.0,150120.0
6,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202201752.0,343521.6,37530.0,0.0,0.0,208500.0
7,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202201952.0,369045.0,52401.6,0.0,0.0,291120.0
8,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202202001.0,492060.0,56295.0,0.0,0.0,312750.0
9,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202202304.0,86291.04,75060.0,0.0,0.0,417000.0
10,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202202346.0,65372.0,13163.04,0.0,0.0,73128.0
11,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202202347.0,49767.68,9972.0,0.0,0.0,55400.0
12,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202202448.0,492060.0,7591.68,0.0,0.0,42176.0
13,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202202465.0,135407.36,75060.0,0.0,0.0,417000.0
14,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,3701092202626251.0,195.99,20655.36,0.0,0.0,114752.0
15,37AAACC6106G2ZZ,CANARA BANK,3701102200972869.0,62.0,0.0,14.95,14.95,166.09
16,37AAACC6106G2ZZ,CANARA BANK,1202202900.0,594134.72,0.0,4.73,4.73,52.54
17,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,3701112201029818.0,89.0,90630.72,0.0,0.0,503504.0
18,37AAACC6106G2ZZ,CANARA BANK,1202203314.0,467280.0,0.0,6.79,6.79,75.42
19,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202203343.0,123074.0,71280.0,0.0,0.0,396000.0
20,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202203344.0,82085.52,18774.0,0.0,0.0,104300.0
21,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202203395.0,373824.0,12521.52,0.0,0.0,69564.0
22,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,3701122202081285.0,243.0,57024.0,0.0,0.0,316800.0
23,37AAACC6106G2ZZ,CANARA BANK,3701012301071688.0,60.99,0.0,18.53,18.53,205.94
24,37AAACC6106G2ZZ,CANARA BANK,1202203841.0,113558.48,0.0,4.65,4.65,51.69
25,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202203903.0,99894.08,17322.48,0.0,0.0,96236.0
26,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202203926.0,519334.52,15238.08,0.0,0.0,84656.0
27,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202204388.0,701027.63,79220.52,0.0,0.0,440114.0
28,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202204390.0,210495.73,106920.0,0.0,0.0,594000.0
29,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,3701022301104658.0,62.0,32077.44,0.0,0.0,178208.0
30,37AAACC6106G2ZZ,CANARA BANK,1202204565.0,467747.28,0.0,4.73,4.73,52.54
31,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202204566.0,230193.08,71280.0,0.0,0.0,396000.0
32,24AACCB1995Q2Z5,HINDUSTHAN SPECIALITY CHEMICALS LIMITED,1202204567.0,36.0,35079.12,0.0,0.0,194884.0
